location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
19700113T2000,0.35024542
19700113T2100,0.17024541
19700113T2200,0.080245405
19700113T2300,-2.4997544
19700114T0000,-2.5697546
19700114T0100,-2.6797547
19700114T0200,-2.7897544
19700114T0300,-3.1897545
19700114T0400,-3.0197544
19700114T0500,-2.8197546
19700114T0600,-2.7997546
19700114T0700,-2.1897545
19700114T0800,-2.1097546
19700114T0900,-1.6597546
19700114T1000,-0.9597546
19700114T1100,1.5902454
19700114T1200,2.3402452
19700114T1300,2.5202456
19700114T1400,2.3402452
19700114T1500,2.5502453
19700114T1600,1.8202454
19700114T1700,1.9602454
19700114T1800,1.0502454
19700114T1900,0.2102454
19700114T2000,-0.17975461
19700114T2100,-0.50975454
19700114T2200,-1.1197546
19700114T2300,-1.4697546
19700115T0000,-1.5097545
19700115T0100,-1.3697546
19700115T0200,-1.2897546
19700115T0300,-0.97975457
19700115T0400,-0.24975461
19700115T0500,-0.029754579
19700115T0600,0.4802454
19700115T0700,1.2302454
19700115T0800,1.6002454
19700115T0900,2.0102453
19700115T1000,2.0302453
19700115T1100,2.9802456
19700115T1200,3.2802453
19700115T1300,4.0402455
19700115T1400,4.2202454
19700115T1500,4.0402455
19700115T1600,3.8602452
19700115T1700,3.8902454
19700115T1800,3.8602452
19700115T1900,3.4302454
19700115T2000,3.0402455
19700115T2100,2.5102453
19700115T2200,2.4202454
19700115T2300,3.0302453
19700116T0000,3.1602454
19700116T0100,2.7302456
19700116T0200,2.9302454
19700116T0300,3.2702456
19700116T0400,3.2902455
19700116T0500,3.4802456
19700116T0600,3.5102453
19700116T0700,3.5502453
19700116T0800,3.6302452
19700116T0900,4.0902452
19700116T1000,3.9702454
19700116T1100,4.860245
19700116T1200,4.770245
19700116T1300,5.0302453
19700116T1400,5.1202455
19700116T1500,5.230245
19700116T1600,4.8302455
19700116T1700,4.2202454
19700116T1800,3.5002456
19700116T1900,3.2602453
19700116T2000,3.1502452
19700116T2100,2.6302452
19700116T2200,2.6202455
19700116T2300,2.4702454
19700117T0000,2.5202456
19700117T0100,2.4102454
19700117T0200,2.4802454
19700117T0300,2.1502454
19700117T0400,2.0802455
19700117T0500,2.0102453
19700117T0600,2.1902454
19700117T0700,2.0902452
19700117T0800,2.2402453
19700117T0900,2.3402452
19700117T1000,2.6102452
19700117T1100,4.6202455
19700117T1200,4.5302453
19700117T1300,4.2302456
19700117T1400,4.3702455
19700117T1500,4.2502456
19700117T1600,3.9202452
19700117T1700,3.4902453
19700117T1800,2.6602454
19700117T1900,1.8802454
19700117T2000,1.7702454
19700117T2100,1.1602454
19700117T2200,0.6902454
19700117T2300,1.7702454
19700118T0000,1.4202454
19700118T0100,1.5602454
19700118T0200,2.0702453
19700118T0300,1.6202455
19700118T0400,0.97024536
19700118T0500,1.0902455
19700118T0600,0.35024542
19700118T0700,0.19024539
19700118T0800,0.5102454
19700118T0900,0.35024542
19700118T1000,0.7802454
19700118T1100,2.6702452
19700118T1200,2.9202452
19700118T1300,3.1802454
19700118T1400,3.3702455
19700118T1500,3.5102453
19700118T1600,3.9702454
19700118T1700,4.170245
19700118T1800,0.97024536
19700118T1900,0.100245416
19700118T2000,-0.2697546
19700118T2100,-0.33975458
19700118T2200,-0.34975457
19700118T2300,-1.3097546
19700119T0000,-0.7997546
19700119T0100,-0.6797546
19700119T0200,-0.8297546
19700119T0300,-1.2097546
19700119T0400,-1.8397547
19700119T0500,-1.7097546
19700119T0600,-1.4697546
19700119T0700,-1.5797547
19700119T0800,-1.5597545
19700119T0900,-1.2497545
19700119T1000,-0.61975455
19700119T1100,0.2902454
19700119T1200,0.9302454
19700119T1300,1.2102454
19700119T1400,1.4302454
19700119T1500,1.8902454
19700119T1600,1.9902455
19700119T1700,1.5502454
19700119T1800,0.2102454
19700119T1900,-1.4797546
19700119T2000,-1.1797546
19700119T2100,-1.6697546
19700119T2200,-1.4897546
19700119T2300,-1.9997545
19700120T0000,-1.8297547
19700120T0100,-1.2097546
19700120T0200,-1.4997545
19700120T0300,-1.9197546
19700120T0400,-1.6497546
19700120T0500,-1.3397546
19700120T0600,-1.4597546
19700120T0700,-2.2397547
19700120T0800,-2.3197546
19700120T0900,-2.6697545
19700120T1000,-1.7197546
19700120T1100,0.47024542
19700120T1200,0.6702454
19700120T1300,0.9602454
19700120T1400,1.3402455
19700120T1500,1.5002453
19700120T1600,1.1802454
19700120T1700,1.3502455
19700120T1800,-1.0897546
19700120T1900,-1.4097546
19700120T2000,-1.5597545
19700120T2100,-1.7697545
19700120T2200,-2.4997544
19700120T2300,-1.3397546
19700121T0000,-2.1497545
19700121T0100,-2.2297544
19700121T0200,-1.8997546
19700121T0300,-2.0497546
19700121T0400,-2.4497547
19700121T0500,-2.3197546
19700121T0600,-1.7497545
19700121T0700,-1.1797546
19700121T0800,-1.2797546
19700121T0900,-1.8397547
19700121T1000,-1.3097546
19700121T1100,-0.07975459
19700121T1200,0.77024543
19700121T1300,0.5702454
19700121T1400,0.5002454
19700121T1500,0.1502454
19700121T1600,0.23024541
19700121T1700,-0.1397546
19700121T1800,-0.47975457
19700121T1900,-1.0397546
19700121T2000,-1.1497546
19700121T2100,-2.3897548
19700121T2200,-2.7997546
19700121T2300,-3.1897545
19700122T0000,-2.9497547
19700122T0100,-2.7197547
19700122T0200,-2.4497547
19700122T0300,-2.2997546
19700122T0400,-2.4397545
19700122T0500,-2.0197544
19700122T0600,-1.6797546
19700122T0700,-1.7397546
19700122T0800,-1.1097546
19700122T0900,0.5702454
19700122T1000,0.4502454
19700122T1100,2.0702453
19700122T1200,1.7502455
19700122T1300,2.1302454
19700122T1400,2.0402455
19700122T1500,2.3002453
19700122T1600,2.3302455
19700122T1700,1.9802454
19700122T1800,1.8202454
19700122T1900,1.8702455
19700122T2000,2.0002456
19700122T2100,1.5002453
19700122T2200,1.5202454
19700122T2300,0.9602454
19700123T0000,0.9202454
19700123T0100,1.1502454
19700123T0200,1.0502454
19700123T0300,1.0602454
19700123T0400,0.7502454
19700123T0500,1.3302454
19700123T0600,1.5202454
19700123T0700,1.4002454
19700123T0800,1.4202454
19700123T0900,0.9802454
19700123T1000,0.6102454
19700123T1100,1.8702455
19700123T1200,2.0402455
19700123T1300,2.1802454
19700123T1400,2.3602452
19700123T1500,2.7002454
19700123T1600,2.5102453
19700123T1700,2.1102452
19700123T1800,1.1302454
19700123T1900,0.5802454
19700123T2000,0.7402454
19700123T2100,1.9802454
19700123T2200,2.5202456
19700123T2300,3.6602454
19700124T0000,3.6102452
19700124T0100,4.2302456
19700124T0200,4.860245
19700124T0300,5.3702455
19700124T0400,5.5502453
19700124T0500,5.5102453
19700124T0600,5.3902454
19700124T0700,5.670245
19700124T0800,5.7202454
19700124T0900,5.9502454
19700124T1000,6.190245
19700124T1100,7.5302453
19700124T1200,7.6002455
19700124T1300,7.460245
19700124T1400,7.3702455
19700124T1500,7.3202453
19700124T1600,6.8702455
19700124T1700,6.690245
19700124T1800,5.7802453
19700124T1900,6.2402453
19700124T2000,6.2202454
19700124T2100,6.250245
19700124T2200,6.2202454
19700124T2300,6.020245
19700125T0000,6.360245
19700125T0100,6.2602453
19700125T0200,6.770245
19700125T0300,6.750245
19700125T0400,6.670245
19700125T0500,6.3902454
19700125T0600,5.7602453
19700125T0700,5.0302453
19700125T0800,4.5002456
19700125T0900,4.0702453
19700125T1000,5.0302453
19700125T1100,8.120246
19700125T1200,8.640245
19700125T1300,8.960245
19700125T1400,8.950245
19700125T1500,8.620245
19700125T1600,8.510245
19700125T1700,7.650245
19700125T1800,6.040245
19700125T1900,6.0102453
19700125T2000,6.4102454
19700125T2100,5.9902453
19700125T2200,5.650245
19700125T2300,5.1202455
19700126T0000,5.3302455
19700126T0100,5.360245
19700126T0200,5.5902452
19700126T0300,5.230245
19700126T0400,5.3002453
19700126T0500,5.3502455
19700126T0600,5.400245
19700126T0700,5.360245
19700126T0800,5.3402452
19700126T0900,5.420245
19700126T1000,5.880245
19700126T1100,7.6202455
19700126T1200,8.330246
19700126T1300,8.980246
19700126T1400,9.090245
19700126T1500,9.090245
19700126T1600,8.480246
19700126T1700,8.030246
19700126T1800,6.8902454
19700126T1900,6.4102454
19700126T2000,6.400245
19700126T2100,5.880245
19700126T2200,5.5302453
19700126T2300,5.000245
19700127T0000,4.980245
19700127T0100,4.9102454
19700127T0200,4.770245
19700127T0300,4.7002454
19700127T0400,5.3202453
19700127T0500,5.960245
19700127T0600,6.2602453
19700127T0700,6.400245
19700127T0800,6.420245
19700127T0900,6.0602455
19700127T1000,5.540245
19700127T1100,6.360245
19700127T1200,6.130245
19700127T1300,6.0602455
19700127T1400,6.6202455
19700127T1500,6.7802453
19700127T1600,6.360245
19700127T1700,6.210245
19700127T1800,5.5602455
19700127T1900,4.5602455
19700127T2000,4.3502455
19700127T2100,3.5402455
19700127T2200,3.5302453
19700127T2300,1.9502454
19700128T0000,2.1202455
19700128T0100,2.8902454
19700128T0200,2.9902453
19700128T0300,2.6502452
19700128T0400,1.7202454
19700128T0500,1.7202454
19700128T0600,1.5102453
19700128T0700,1.4502454
19700128T0800,1.4502454
19700128T0900,1.6702454
19700128T1000,2.1202455
19700128T1100,4.0102453
19700128T1200,3.7302456
19700128T1300,4.1002455
19700128T1400,3.9502454
19700128T1500,4.5102453
19700128T1600,4.1402454
19700128T1700,3.7102456
19700128T1800,2.3402452
19700128T1900,0.5702454
19700128T2000,1.3302454
19700128T2100,0.010245383
19700128T2200,-0.029754579
19700128T2300,-0.5997546
19700129T0000,-0.97975457
19700129T0100,-0.27975458
19700129T0200,0.090245396
19700129T0300,-0.28975457
19700129T0400,-0.51975465
19700129T0500,-0.3197546
19700129T0600,0.030245423
19700129T0700,0.64024544
19700129T0800,0.5302454
19700129T0900,1.0502454
19700129T1000,0.8302454
19700129T1100,3.3702455
19700129T1200,3.2702456
19700129T1300,3.2102456
19700129T1400,3.5802455
19700129T1500,4.3102455
19700129T1600,3.6202455
19700129T1700,3.2402453
19700129T1800,1.6002454
19700129T1900,0.9102454
19700129T2000,0.8702454
19700129T2100,0.7202454
19700129T2200,0.4302454
19700129T2300,0.040245414
19700130T0000,0.22024539
19700130T0100,0.22024539
19700130T0200,0.16024542
19700130T0300,0.5802454
19700130T0400,1.0802454
19700130T0500,1.0602454
19700130T0600,1.0702454
19700130T0700,1.6602454
19700130T0800,1.7902454
19700130T0900,1.9702454
19700130T1000,1.8602453
19700130T1100,3.6102452
19700130T1200,3.7002454
19700130T1300,4.3002453
19700130T1400,4.2902455
19700130T1500,4.1602454
19700130T1600,4.2502456
19700130T1700,4.3402452
19700130T1800,3.8102455
19700130T1900,3.7202454
19700130T2000,3.5702453
19700130T2100,3.4102454
19700130T2200,3.3602452
19700130T2300,2.9902453
19700131T0000,3.4802456
19700131T0100,3.2902455
19700131T0200,3.5702453
19700131T0300,3.3102455
19700131T0400,2.9802456
19700131T0500,3.3302455
19700131T0600,3.1502452
19700131T0700,2.6402454
19700131T0800,2.1002455
19700131T0900,1.2002454
19700131T1000,0.9202454
19700131T1100,0.8202454
19700131T1200,0.6602454
19700131T1300,0.4002454
19700131T1400,0.2702454
19700131T1500,0.2802454
19700131T1600,-0.47975457
19700131T1700,-0.50975454
19700131T1800,-1.1397547
19700131T1900,-1.5397545
19700131T2000,-1.6597546
19700131T2100,-2.3397546
19700131T2200,-2.3797545
19700131T2300,-3.5097547
19700201T0000,-3.8097548
19700201T0100,-3.5597548
19700201T0200,-3.6797547
19700201T0300,-4.7797546
19700201T0400,-5.289755
19700201T0500,-4.809755
19700201T0600,-5.0897546
19700201T0700,-5.0297546
19700201T0800,-5.1097546
19700201T0900,-4.809755
19700201T1000,-4.6697545
19700201T1100,-1.7897545
19700201T1200,-1.7597545
19700201T1300,-1.4597546
19700201T1400,-1.4197546
19700201T1500,-1.1797546
19700201T1600,-1.6297547
19700201T1700,-1.5997547
19700201T1800,-2.1597548
19700201T1900,-3.8597546
19700201T2000,-3.8997545
19700201T2100,-4.0697546
19700201T2200,-5.3997545
19700201T2300,-5.849755
19700202T0000,-6.079755
19700202T0100,-5.849755
19700202T0200,-5.5097547
19700202T0300,-5.2197547
19700202T0400,-4.519755
19700202T0500,-4.0697546
19700202T0600,-2.2197547
19700202T0700,-1.1597546
19700202T0800,-1.3597546
19700202T0900,0.5702454
19700202T1000,1.1202455
19700202T1100,1.8402454
19700202T1200,1.9502454
19700202T1300,1.8702455
19700202T1400,2.3302455
19700202T1500,3.9102454
19700202T1600,5.1402454
19700202T1700,5.110245
19700202T1800,5.630245
